,region,num_photos,proportion
8,Pardubický kraj,1984,0.008810690067101576
13,Zlínský kraj,2814,0.012496613835092658
11,Olomoucký kraj,2897,0.012865206211891767
9,Kraj Vysočina,3508,0.015578579009774359
12,Moravskoslezský kraj,3661,0.016258032427247413
6,Liberecký kraj,4241,0.018833738192831545
4,Karlovarský kraj,4353,0.01933111585790986
5,Ústecký kraj,4832,0.02145829355052158
7,Královéhradecký kraj,7031,0.031223771099693137
3,Plzeňský kraj,7823,0.034740941731318364
10,Jihomoravský kraj,11259,0.04999977795639952
1,Středočeský kraj,12556,0.05575958895288679
2,Jihočeský kraj,24564,0.10908558004449753
0,Hlavní město Praha,133658,0.5935580710628339
